交易日期,国内收盘价_元每克,国内成交量,外盘收盘价_元每克,美元兑人民币汇率,纽约金收盘价_美元每盎司
2016-06-30,283.0,287436,282.4232205378816,6.6312,1324.7
2016-07-31,287.45,218240,288.6167045509348,6.6511000000000005,1349.7
2016-08-31,283.4,197694,282.18661694021574,6.6908,1311.8
2016-09-30,285.3,125074,283.14121047470536,6.6777999999999995,1318.8
2016-10-31,279.65,231556,277.88406385133504,6.7641,1277.8
2016-11-30,271.05,200036,259.4877746877361,6.8865,1172.0
2016-12-31,271.35,257682,256.9300561030109,6.937,1152.0
2017-01-31,267.6,142822,266.66924429726555,6.8588,1209.3
2017-02-28,281.2,160636,276.0300287748967,6.875,1248.8
2017-03-31,278.6,178510,277.62675840339506,6.899299999999999,1251.6
2017-04-30,283.2,129946,281.34423617920805,6.8931,1269.5
2017-05-31,281.65,74258,280.54719308116455,6.863300000000001,1271.4
2017-06-30,275.5,221690,270.3792229170351,6.774400000000001,1241.4
2017-07-31,278.05,147076,275.8725220634334,6.728300000000001,1275.3
2017-08-31,279.9,141360,281.5190091147299,6.601,1326.5
2017-09-30,278.9,99056,273.66130017522147,6.636900000000001,1282.5
2017-10-31,274.5,129702,271.49261208545664,6.6397,1271.8
2017-11-30,279.55,160322,271.2396945681354,6.603400000000001,1277.6
2017-12-31,277.8,70460,274.17443117334057,6.534199999999999,1305.1
2018-01-31,276.6,130220,274.6078142331249,6.3339,1348.5
2018-02-28,272.05,164380,268.49101740961635,6.329400000000001,1319.4
2018-03-31,271.55,77390,268.80118829070676,6.288099999999999,1329.6
2018-04-30,271.15,167128,268.2383889272911,6.3393,1316.1
2018-05-31,274.5,93610,268.652687961162,6.4144000000000005,1302.7
2018-06-30,271.4,97584,266.80404841898826,6.6166,1254.2
2018-07-31,271.65,67996,270.19669329818186,6.8165,1232.9
2018-08-31,267.8,111716,264.81295481215943,6.8246,1206.9
2018-09-30,264.9,132906,264.56505023550403,6.8792,1196.2
2018-10-31,274.9,192764,272.30536949217935,6.964600000000001,1216.1
2018-11-30,279.45,107410,273.78504885623806,6.935700000000001,1227.803
2018-12-31,287.85,171054,283.47828271416404,6.863200000000001,1284.702
2019-01-31,287.85,153858,285.67602866236916,6.7025,1325.703
2019-02-28,286.85,173762,282.78150498496956,6.6901,1314.703
2019-03-31,282.0,345786,280.78349703409583,6.7335,1297.0
2019-04-30,281.6,118084,278.0693164049062,6.7286,1285.398
2019-05-31,293.45,210680,290.62060673557636,6.8991999999999996,1310.198
2019-06-30,316.85,570526,312.17793110100155,6.874700000000001,1412.4
2019-07-31,322.25,265788,315.592720754899,6.8841,1425.9
2019-08-31,356.7,832864,348.45300014467824,7.087899999999999,1529.1
2019-09-30,345.05,493700,336.16371372996605,7.0729,1478.3
2019-10-31,341.1,317778,343.59992155223694,7.0533,1515.2
2019-11-30,333.1,80236,332.2845326088704,7.0298,1470.2
2019-12-31,347.48,197576,340.89817480347875,6.9762,1519.9
2020-01-31,350.72,81197,352.84459433825776,6.8876,1593.4
2020-02-29,369.98,183765,357.40902342180135,7.0066,1586.6
2020-03-31,364.9,58917,362.32449917211886,7.0851,1590.6
2020-04-30,380.28,61419,384.0127879499092,7.0571,1692.5
2020-05-31,394.42,165185,399.6915176748597,7.1316,1743.2
2020-06-30,400.72,99003,409.26741202758535,7.0795,1798.1
2020-07-31,432.86,287925,447.76287941871493,6.9848,1993.9
2020-08-31,422.68,274835,435.36112977639164,6.860499999999999,1973.8
2020-09-30,406.1,137965,413.9899715466105,6.8101,1890.8
2020-10-31,397.1,198494,406.0701695950616,6.7232,1878.6
2020-11-30,371.34,197649,376.4802617068819,6.578200000000001,1780.1
2020-12-31,394.98,117553,398.855188965872,6.5249,1901.3
2021-01-31,388.34,172434,384.7567784975967,6.4709,1849.4
2021-02-28,369.5,234128,361.06206761296966,6.4713,1735.4
2021-03-31,357.38,152998,360.9582860449788,6.5713,1708.5
2021-04-30,370.76,156690,367.67404825823456,6.4672,1768.3
2021-05-31,394.38,150667,390.9552912051699,6.368200000000001,1909.5
2021-06-30,367.5,128592,367.7273313292716,6.4601,1770.5
2021-07-31,382.5,105481,377.370308164676,6.4601999999999995,1816.9
2021-08-31,378.84,101798,377.6953323580947,6.467899999999999,1816.3
2021-09-30,362.78,140055,366.43599466298,6.485399999999999,1757.4
2021-10-31,370.48,140767,366.69449708232196,6.390700000000001,1784.7
2021-11-30,370.24,146617,364.28222997411865,6.3794,1776.1
2021-12-31,374.7,94384,375.1810474705419,6.3757,1830.3
2022-01-31,370.1,105630,368.43501277991226,6.3746,1797.7
2022-02-28,389.02,199335,388.3142051537609,6.3222000000000005,1910.4
2022-03-31,394.34,101336,396.36067966627553,6.3482,1942.0
2022-04-30,405.82,136855,403.57044576976864,6.6177,1896.8
2022-05-31,399.04,68298,393.96498111145047,6.6607,1839.7
2022-06-30,392.7,87446,390.1020804732587,6.7114,1807.9
2022-07-31,386.1,132826,386.5157937209639,6.7437000000000005,1782.7
2022-08-31,386.92,68549,381.62096098509807,6.890599999999999,1722.6
2022-09-30,390.82,89474,380.78950471811856,7.0998,1668.2
2022-10-31,391.66,67523,377.58180011895763,7.176799999999999,1636.4
2022-11-30,406.12,111763,411.36776632854827,7.176900000000001,1782.8
2022-12-31,410.72,56463,409.76796823508613,6.964600000000001,1830.0
2023-01-31,419.48,104552,422.48832189303454,6.7604,1943.8
2023-02-28,412.64,92781,409.8477351423473,6.9519,1833.7
2023-03-31,441.2,116913,438.8555911714116,6.8717,1986.4
2023-04-30,444.04,116208,444.9338113074091,6.9239999999999995,1998.7
2023-05-31,450.86,198417,451.06306685742766,7.0821000000000005,1981.0
2023-06-30,448.6,138212,447.8330303663575,7.2258000000000004,1927.7
2023-07-31,455.98,186640,459.32675743887336,7.1305,2003.6
2023-08-31,463.16,86609,453.9976221325574,7.1811,1966.4
2023-09-30,459.5,217875,430.4163544295658,7.1798,1864.6
2023-10-31,478.94,111271,459.8646882183677,7.177899999999999,1992.7
2023-11-30,475.72,141553,469.442371437298,7.1018,2056.0
2023-12-31,481.7,112640,471.7549340106419,7.0827,2071.7
2024-01-31,481.58,145507,469.9694577780635,7.103899999999999,2057.7
2024-02-29,481.82,56471,468.78484286334333,7.1036,2052.6
2024-03-31,531.3,324507,514.3182117768096,7.095,2254.7
2024-04-30,549.5,80825,524.8017457842365,7.1063,2297.0
2024-05-31,556.86,142963,536.5511559792305,7.1088,2347.6
2024-06-30,551.52,112648,535.4580326972849,7.126799999999999,2336.9
2024-07-31,566.28,263948,571.8965621232337,7.134600000000001,2493.2
2024-08-31,574.06,208353,579.8126075843554,7.1124,2535.6
2024-09-30,596.72,218847,598.4682546980243,7.0074000000000005,2656.4
2024-10-31,635.66,263615,630.8695162923786,7.125,2754.0
2024-11-30,618.8,279763,617.8646612117607,7.1876999999999995,2673.7
2024-12-31,619.44,63625,609.9745726365201,7.188400000000001,2639.3
2025-01-31,647.54,224571,652.678049737168,7.1698,2831.4
2025-02-28,673.48,91848,661.2530615525584,7.1738,2867.0
2025-03-31,729.8,462424,728.6553236773998,7.1782,3157.3
2025-04-30,782.38,185131,763.8644808462069,7.2014,3299.2
2025-05-31,771.8,236013,765.2914430851833,7.1848,3313.0
2025-06-30,767.58,211285,762.9150185670424,7.1586,3314.8
2025-07-31,770.28,260701,768.2556503287412,7.149400000000001,3342.3
2025-08-31,787.42,44257,802.959740865176,7.103,3516.1
2025-09-30,874.4,226548,888.0418650634173,7.105499999999999,3887.3
2025-10-31,921.92,395964,914.5681482791325,7.087999999999999,4013.3
2025-11-30,953.92,189713,968.4256559551176,7.0789,4255.1
2025-12-31,977.56,284543,978.9722854341153,7.0288,4332.1
2026-01-31,1161.42,894021,1099.713221984664,6.9677999999999995,4909.0
2026-02-28,1147.9,194706,1178.791240857138,6.9228,5296.2
2026-03-31,1020.1,335355,1045.3569726879612,6.9194,4699.0
2026-04-30,1016.12,230115,1022.8172289292203,6.8628,4635.6
2026-05-31,989.4,273149,1001.5702875882134,6.8176,4569.4
2026-06-30,896.04,241146,874.9683685115823,6.819500000000001,3990.7
